,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-gentil,-0.72,8.78,77.88,85,100,9.8,GA,1603854377
1,teahupoo,-17.83,-149.27,82.4,74,40,13.87,PF,1603854378
2,rikitea,-23.12,-134.97,75.45,84,100,14.9,PF,1603854264
3,mmathubudukwane,-24.6,26.43,68.0,42,0,8.05,BW,1603854378
4,sekoma,-24.4,23.88,73.96,30,0,13.24,BW,1603854379
5,nantucket,41.28,-70.1,52.0,64,90,8.05,US,1603854379
6,gampengrejo,-7.77,112.02,86.95,62,98,11.61,ID,1603854379
7,georgetown,5.41,100.34,86.0,79,20,4.7,MY,1603854307
8,chicama,-7.84,-79.15,64.47,81,93,5.06,PE,1603853911
9,mastung,29.8,66.84,54.32,32,0,4.07,PK,1603854381
10,katsuura,35.13,140.3,68.0,72,75,3.36,JP,1603854381
11,longyearbyen,78.22,15.64,30.2,86,75,5.82,SJ,1603854188
12,nome,64.5,-165.41,33.8,86,90,6.93,US,1603853892
13,tual,-5.67,132.75,82.44,76,97,13.8,ID,1603854382
14,busselton,-33.65,115.33,66.99,57,19,1.01,AU,1603854261
15,ukiah,39.15,-123.21,69.8,19,1,3.36,US,1603853870
16,virginia beach,36.85,-75.98,64.99,94,0,5.28,US,1603854278
17,bluff,-46.6,168.33,55.99,74,63,10.0,NZ,1603853971
18,aksay,47.26,39.87,48.2,70,40,26.84,RU,1603854383
19,cosala,24.41,-106.69,77.0,61,6,7.0,MX,1603854383
20,port alfred,-33.59,26.89,62.44,87,57,11.56,ZA,1603854275
21,ribeira grande,38.52,-28.7,62.85,62,100,5.77,PT,1603854270
22,bulgan,48.81,103.53,39.31,61,0,3.15,MN,1603854384
23,dikson,73.51,80.55,4.28,94,99,18.12,RU,1603854313
24,aksarka,66.56,67.8,3.49,92,81,6.42,RU,1603854384
25,east london,-33.02,27.91,65.91,77,61,14.0,ZA,1603854279
26,bethel,41.37,-73.41,50.0,66,90,5.82,US,1603854053
27,punta arenas,-53.15,-70.92,41.0,80,0,16.11,CL,1603854271
28,port elizabeth,-33.92,25.57,62.6,72,0,3.36,ZA,1603854385
29,saint-philippe,-21.36,55.77,71.6,56,0,8.05,RE,1603854265
30,mataura,-46.19,168.86,57.0,75,98,8.01,NZ,1603854270
31,nikolskoye,59.7,30.79,52.0,87,90,11.18,RU,1603854263
32,hamilton,39.18,-84.53,51.01,91,83,1.99,US,1603854386
33,aksu,41.12,80.26,50.13,41,100,2.13,CN,1603854386
34,albany,42.6,-73.97,45.0,84,100,0.69,US,1603854009
35,beringovskiy,63.05,179.32,27.77,93,74,12.73,RU,1603853934
36,arraial do cabo,-22.97,-42.03,72.77,90,26,19.66,BR,1603854289
37,esperance,-33.87,121.9,68.0,72,90,17.22,AU,1603854226
38,yulara,-25.24,130.99,87.8,10,0,5.82,AU,1603854301
39,hithadhoo,-0.6,73.08,84.4,65,94,10.49,MV,1603853976
40,cabo san lucas,22.89,-109.91,75.2,64,75,5.82,MX,1603854389
41,jinchang,38.5,102.17,42.67,63,96,7.47,CN,1603854389
42,bredasdorp,-34.53,20.04,57.2,87,100,3.36,ZA,1603854268
43,brigantine,39.41,-74.36,61.0,93,90,3.6,US,1603854389
44,kostomuksha,64.57,30.58,42.55,96,100,4.27,RU,1603854390
45,hermanus,-34.42,19.23,59.0,92,99,1.99,ZA,1603854283
46,plettenberg bay,-34.05,23.37,60.04,69,60,5.66,ZA,1603854390
47,kodiak,57.79,-152.41,44.6,48,90,6.93,US,1603854311
48,qaanaaq,77.48,-69.36,13.62,82,95,12.66,GL,1603854278
49,menongue,-14.66,17.69,70.54,64,71,5.12,AO,1603853894
50,bambous virieux,-20.34,57.76,73.99,75,14,1.99,MU,1603854290
51,norman wells,65.28,-126.83,3.2,84,20,3.36,CA,1603854230
52,mbuji-mayi,-6.15,23.6,70.05,90,100,1.36,CD,1603854392
53,ancud,-41.87,-73.82,46.99,93,75,5.82,CL,1603854392
54,ushuaia,-54.8,-68.3,44.6,42,40,13.87,AR,1603854258
55,kavieng,-2.57,150.8,84.63,66,67,4.32,PG,1603854299
56,sorong,-0.88,131.25,84.2,70,67,1.72,ID,1603853954
57,brae,60.4,-1.35,50.0,81,4,14.99,GB,1603854188
58,narsaq,60.92,-46.05,30.2,80,100,1.03,GL,1603853927
59,torbay,47.67,-52.73,39.0,100,90,10.29,CA,1603854198
60,butaritari,3.07,172.79,81.14,66,15,4.18,KI,1603854297
61,victoria,22.29,114.16,79.0,68,100,3.0,HK,1603854254
62,flinders,-34.58,150.86,71.01,67,99,5.99,AU,1603854269
63,coahuayana,18.73,-103.68,78.13,89,70,1.34,MX,1603853904
64,ayan,56.45,138.17,34.99,88,100,11.12,RU,1603854395
65,hobart,-42.88,147.33,63.0,76,40,12.75,AU,1603854260
66,anshun,26.25,105.93,54.09,89,100,11.21,CN,1603854395
67,nioro,13.35,-15.75,72.55,66,0,1.39,GM,1603854396
68,arcos de la frontera,36.75,-5.81,52.0,93,0,1.12,ES,1603854396
69,klaksvik,62.23,-6.59,44.6,87,98,12.75,FO,1603854396
70,san rafael,-34.62,-68.33,59.85,39,0,11.25,AR,1603854396
71,new castle,41.0,-80.35,46.99,93,90,5.59,US,1603854397
72,kahului,20.89,-156.47,82.4,65,75,3.69,US,1603854167
73,kaili,-3.46,120.21,82.85,59,100,4.99,ID,1603854397
74,yinchuan,38.47,106.27,48.61,45,86,1.25,CN,1603854397
75,yellowknife,62.46,-114.35,16.0,66,75,6.93,CA,1603854258
76,jalu,29.03,21.55,68.7,47,0,9.53,LY,1603854398
77,fortuna,40.6,-124.16,50.0,81,1,5.82,US,1603854398
78,faanui,-16.48,-151.75,79.57,82,100,18.34,PF,1603854060
79,bagan,54.1,77.66,31.59,97,56,13.13,RU,1603854399
80,bar harbor,44.39,-68.2,39.99,55,40,5.82,US,1603854399
81,marzuq,14.4,46.47,56.86,33,0,1.95,YE,1603854399
82,ponta do sol,32.67,-17.1,66.2,68,75,3.36,PT,1603854400
83,cape town,-33.93,18.42,64.0,87,75,10.29,ZA,1603854092
84,grindavik,63.84,-22.43,41.0,52,0,25.28,IS,1603854294
85,juneau,58.3,-134.42,46.99,81,75,10.29,US,1603853936
86,kruisfontein,-34.0,24.73,55.99,96,56,1.99,ZA,1603854401
87,puerto ayora,-0.74,-90.35,68.0,95,99,1.01,EC,1603854282
88,vilyuysk,63.76,121.62,7.32,91,100,2.46,RU,1603854401
89,kaitangata,-46.28,169.85,53.01,81,43,11.01,NZ,1603854401
90,enid,36.4,-97.88,32.0,100,90,3.36,US,1603854402
91,tasiilaq,65.61,-37.64,33.8,34,100,14.99,GL,1603854085
92,maceio,-9.67,-35.74,77.0,83,75,3.36,BR,1603854380
93,porosozero,62.72,32.73,48.07,93,100,11.32,RU,1603854402
94,lebu,-37.62,-73.65,50.79,87,100,12.35,CL,1603854304
95,newport,51.59,-3.0,48.0,96,97,1.99,GB,1603854366
96,vaini,-21.2,-175.2,77.0,78,75,12.75,TO,1603854271
97,taoudenni,22.68,-3.98,77.36,19,0,1.01,ML,1603854404
